"CFETR-LSND 29.03.16" from H. Li 
	82  segments
R1 [m]          Z1 [m]    R2[m]        Z2 [m]   thk [m]  rho [Ohm m]
12.3634	       -0.61341	  12.31365     -1.22502	  0.06	8.5E-7	Inner VV
12.31365       -1.22502	  12.23088     -1.83304	  0.06	8.5E-7	Inner VV
12.23088       -1.83304	  12.11536     -2.4357	  0.06	8.5E-7	Inner VV
12.11536       -2.4357	  11.96741     -3.03123	  0.06	8.5E-7	Inner VV
11.96741       -3.03123	  11.69637     -3.79498	  0.06	8.5E-7	Inner VV
11.69637       -3.79498	  11.32076     -4.51311	  0.06	8.5E-7	Inner VV
11.32076       -4.51311	  10.84804     -5.17138	  0.06	8.5E-7	Inner VV
10.84804       -5.17138	  10.28756     -5.75674	  0.06	8.5E-7	Inner VV
10.28756       -5.75674	   9.65043     -6.2576	  0.06	8.5E-7	Inner VV
9.65043	       -6.2576	   8.94929     -6.66403	  0.06	8.5E-7	Inner VV
8.94929	       -6.66403	   8.19802     -6.96797	  0.06	8.5E-7	Inner VV
8.19802	       -6.96797	   7.41151     -7.1634	  0.06	8.5E-7	Inner VV
7.41151	       -7.1634	   6.60535     -7.24645	  0.06	8.5E-7	Inner VV
6.60535	       -7.24645	   5.79552     -7.21547	  0.06	8.5E-7	Inner VV
5.79552	       -7.21547	   5.20234     -7.06091	  0.06	8.5E-7	Inner VV
5.20234	       -7.06091	   4.6789	   -6.74192	  0.06	8.5E-7	Inner VV
4.6789	       -6.74192	   4.26964     -6.28557	  0.06	8.5E-7	Inner VV
4.26964	       -6.28557	   4.00931     -5.73062	  0.06	8.5E-7	Inner VV
4.00931	       -5.73062	   3.92	       -5.12418	  0.06	8.5E-7	Inner VV
3.92	       -5.12418	   3.92	        5.12418   0.06	8.5E-7	Inner VV
3.92	        5.12418    4.00931	    5.73062	  0.06	8.5E-7	Inner VV
4.00931	        5.73062	   4.26964	    6.28557	  0.06	8.5E-7	Inner VV
4.26964	        6.28557	   4.6789	    6.74192	  0.06	8.5E-7	Inner VV
4.6789	        6.74192	   5.20234	    7.06091	  0.06	8.5E-7	Inner VV
5.20234	        7.06091	   5.79552	    7.21547	  0.06	8.5E-7	Inner VV
5.79552	        7.21547	   6.60535	    7.24645	  0.06	8.5E-7	Inner VV
6.60535	        7.24645	   7.41151	    7.1634	  0.06	8.5E-7	Inner VV
7.41151	        7.1634	   8.19802	    6.96797	  0.06	8.5E-7	Inner VV
8.19802	        6.96797	   8.94929	    6.66403	  0.06	8.5E-7	Inner VV
8.94929	        6.66403	   9.65043	    6.2576	  0.06	8.5E-7	Inner VV
9.65043	        6.2576	  10.28756	    5.75674	  0.06	8.5E-7	Inner VV
10.28756	    5.75674	  10.84804	    5.17138	  0.06	8.5E-7	Inner VV
10.84804	    5.17138	  11.32076	    4.51311	  0.06	8.5E-7	Inner VV
11.32076	    4.51311	  11.69637	    3.79498	  0.06	8.5E-7	Inner VV
11.69637	    3.79498	  11.96741	    3.03123	  0.06	8.5E-7	Inner VV
11.96741	    3.03123	  12.11536	    2.4357	  0.06	8.5E-7	Inner VV
12.11536	    2.4357	  12.23088	    1.83304	  0.06	8.5E-7	Inner VV
12.23088	    1.83304	  12.31365	    1.22502	  0.06	8.5E-7	Inner VV
12.31365	    1.22502	  12.3634	    0.61341	  0.06	8.5E-7	Inner VV
12.3634	        0.61341	  12.38	        0	      0.06	8.5E-7	Inner VV
12.38	        0	      12.3634	   -0.61341	  0.06	8.5E-7	Inner VV
12.76	        0	      12.73152     -0.75914	  0.06	8.5E-7	Outer VV
12.73152       -0.75914	  12.64624     -1.51402	  0.06	8.5E-7	Outer VV
12.64624       -1.51402	  12.50465     -2.26038	  0.06	8.5E-7	Outer VV
